artist,country,price,year
Ebony Eyez,US,5.99,2005
Nate Dogg,US,6.99,2001
Infamous Blu Steel,US,6.99,2002
J. Rawls,US,7.99,2000
Thicke,US,6.99,2002
Damozel,US,6.99,2000
B.G.,US,6.99,2000
Barry Miles & Co,USA & Canada,7.99,1977
Sweet Cookie,US,6.99,1987
Marvin Gaye,US,6.99,11 Jan 1979
Smokey Robinson,US,10.99,1973
Kurtis Blow,US,5.99,1983
The Three Degrees,US,7.99,1970
Birdman (2),US,6.99,2005
Boys On The Block,US,6.99,1987
Shaggy,US,6.99,1997
Beautiful Bend,US,7.99,1978
En Vogue,US,5.99,2000
Men Out Loud,US,6.99,1996
Loon,US,6.99,2003
George Benson,US,8.99,1978
Tito Rodriguez,US,8.99,1969
Blark,US,5.99,1996
The Roy Meriwether Trio,US,7.99,1968
Lil' Flip,US,6.99,2004
Mr. Hyde,US,9.99,1987
La Toya Jackson,US,7.99,1988
Andraé Crouch & The Disciples,US,6.99,1972
The Brooklyn Bridge,US,6.99,1968
Green Fuse,US,5.99,2004
Wilmot Proviso,US,7.99,2007
Queer (3),US,7.99,1994
Cal Tjader,US,35.989999999999995,1971
Stanley Turrentine,US,8.99,1976
Jean-Luc Ponty,US,7.99,1982
Ferrante & Teicher,US,8.99,1974
Francis Albert Sinatra,US,10.99,Mar 1967
Robert Lowe,US,74.99,1985
Rose Royce,US,6.99,1986
The Hook (3),US,16.990000000000002,1968
Chilly,US,16.990000000000002,1979
DaSquad,US,6.99,2001
Joe Budden,US,5.99,2004
Yung Wun,US,6.99,2004
Remy Martin,US,6.99,2000
Mr. Lee,US,6.99,1990
Nu Sounds,US,7.99,1989
Blaque (2),US,6.99,2001
Whodini,US,6.99,1989
Trina,US,6.99,2000
Brooke Valentine,US,6.99,2005
Snoop Dogg,US,6.99,2002
Quincy Jones,US,6.99,1971
Canela,US,6.99,2001
Jake And The Stiffs,US,7.99,1994
Goodie,US,6.99,1985
Thedayisdone,US,7.99,1999
The Spinners,US,34.989999999999995,29 Aug 1967
DQE,US,5.99,1994
Barry White,US,6.99,Oct 1976
Howard Hewett,US,6.99,2005
Ruth Brown,US,8.99,1982
Angie Martinez,US,6.99,2002
Alicia Keys,US,6.99,2002
Future Pilot AKA,UK,5.99,2000
Smash (7),US,8.99,1981
Debarge,US,5.99,1982
Jay-Z,US,6.99,1999
Seasick (3),US,5.99,30 Sep 2006
Magstatic,US,6.99,01 Oct 1997
Saigon,US,6.99,2001
Booker T. Jones,US,6.99,Jan 1969
Full Force,,7.5,
DJ Maestro (3),US,10.99,
The Move (5),US,29.99,
"""G"" (5)",US,6.99,2005
Five Star,US,6.99,1988
Money Boss Players,US,7.99,1998
Kelis,US,6.99,2000
Dirtbag,US,6.99,2004
The Gap Band,UK,8.99,1988
Awesome Threesome,US,6.99,1990
Lavine Hudson,US,7.99,1988
Yummy Bingham,US,5.99,2005
Rude Boys,US,6.99,1990
Master P,US,6.99,2000
Henchmen,US,6.99,2001
Nivea,,6.99,2001
Towers,US,7.99,2006
The Writers (2),US,7.99,1979
Da Whole 9,US,15.99,1996
Twennynine,US,5.99,1981
The Wednesdays,US,5.99,2001
Sadat X,US,7.99,2002
Various,US,9.99,1979
Toya (2),US,6.99,2001
Baby Blak,US,6.99,2001
The Most Talented,US,9.99,2000
James Brown,,7.99,2004
Clark Ferguson,US,15.99,1974
a-ha,US,18.990000000000002,1985
The Joe Thomas Group,US,6.99,1968
Bill Evans,US,22.99,
Dave Grusin,US,8.99,1980
The Temprees,US,19.990000000000002,1972
Laurindo Almeida,US,8.99,
Edwin Birdsong,US,9.99,1980
"Jeanette ""Lady"" Day",US,12.99,1981
Maxwell,US,30.49,30 Jun 1998
Ultimate 3 MC's,US,10.99,1984
Kleeer,US,24.99,1984
Clifford Coulter,US,34.989999999999995,1980
"Grover Washington, Jr.",US,10.99,1975
Wynton Marsalis,US,6.99,1983
Dick Hyman and The Group,US,7.99,1968
Crusaders,US,8.99,1986
The Cannonball Adderley Quintet,US,19.990000000000002,1972
Stephanie Mills,US,6.99,1979
Macy Gray,US,6.99,2001
TC,US,6.99,2000
XIT 19,US,6.99,2004
Tim Hatfield,US,6.99,2000
Naeemah Harper,US,6.99,
Dynasty (4),US,9.99,2003
R. Kelly,US,6.99,2005
Violator (3),US,6.99,2001
Melieck Britt,US,6.99,1996
Tara Z,US,6.99,1998
Coits,"UK, Europe & US",6.99,1996
Konfrontation (2),Sweden,7.99,2000
Two Dollar Guitar,US,9.99,1997
Luciano (2),US,8.99,1996
Theresa,US,6.99,1987
Mýa,US,5.99,1998
Nicole C. Mullen,US,6.99,2002
Brandy (2),US,6.99,2004
Linda Jones,US,14.99,1972
Syl Johnson,US,16.990000000000002,1975
Melba Moore,US,9.99,06 Nov 1977
The Pharcyde,US,7.99,2000
Shawnna,US,6.99,2004
DJ Spinna,France,7.99,2002
Beenie Man,US,6.99,2002
Joe Budden,US,6.99,2004
Rupee,US,5.99,13 Jun 2005
Levert,US,6.99,1989
Tori Alamaze,US,6.99,2004
Smoke Bulga,,6.99,2003
Channel Live,US,6.99,2000
Das EFX,US,7.99,1993
Goldie Lookin Chain,US,7.99,2004
Shirley Murdock,US,6.99,1988
Bobby Brown,US,6.99,14 Oct 1986
Tuxedo Junction,US,7.99,1979
Jelleestone,US,6.99,2001
Funkmaster Flex,US,6.99,2001
Nitro,US,6.99,1998
Cap.One,US,6.99,2000
Cash (9),US,7.99,2001
Derek B,US,7.5,1988
Joan Armatrading,US,7.99,Mar 1983
Shalamar,US,6.99,1979
Geto Boys,US,10.99,2005
Ralph Tresvant,US,7.99,12 Mar 1991
Mary J. Blige,US,7.99,1997
Craig Snyder,US,10.99,1977
King Akeen,US,6.99,1990
Vicki Sue Robinson,US,7.99,1979
Shirley Scott,US,9.99,
Ohio Players,US,7.99,1988
Bigg Ocean Mobb IV-1-5,US,6.99,1990
Aretha Franklin,US,8.49,2003
Jhené,US,6.99,2003
EARTHA,US,7.99,
The Flirts,US,7.99,1982
Chico DeBarge,US,6.99,
Do Or Die,US,6.99,2000
Nord,US,6.99,1996
Sam The Beast,US,6.99,1996
En Vogue,US,6.99,1997
Spragga Benz,US,6.99,2000
Musaliny-N-M.a.z.e.,US,6.99,2001
R. Kelly,US,6.99,2004
Capital D,US,6.99,2004
Kweli,US,6.99,2002
Red Café,US,5.99,2005
Donell Jones,US,7.99,1996
The Dells,US,7.99,1977
3LW,US,6.99,2002
Field Mob,US,6.99,2003
3LW,US,6.99,2002
Various,US,7.99,2002
Que Bo Gold,US,6.99,2001
GZA,US,7.99,2002
The Microphone Prince,US,6.99,1993
Pulse (3),US,6.99,1996
Heavy D. & The Boyz,US,6.99,1989
M.C. Dollar Bill,US,7.99,1986
The Black Flames,US,7.99,1990
B.G.,US,6.99,2004
Yung Wun,US,6.99,2004
Ben Hated,US,6.99,
Fabolous,US,6.99,2003
Conway (3),US,6.99,2004
Jiggolo,US,6.99,2005
Swizz Beatz,US,6.99,2002
The Singing M.C. Breeze,US,8.99,1988
Ruff Ryders,US,6.99,2001
El Hombre Trajeado,UK,5.99,1998
Brook Benton,US,6.99,1977
Angelo Bond,US,23.99,1975
Smartbomb (3),US,6.99,1995
T.J.M.,US,11.99,1979
Mudwimin,US,5.99,1994
Lakeside,US,5.99,1979
Paul Horn,US,9.99,1968
Lena Horne,US,9.99,1970
Hotbox,US,7.99,1983
Magic Dirt,US,28.99,1993
Jimmy Smith,US,9.99,1978
The Dazz Band,US,7.99,1980
Perverted Monks,US,6.99,06 Dec 2002
DJ Flux,US,6.99,2000
Kalibas,US,5.99,2000
Nine20,US,6.99,2001
Ashford & Simpson,US,6.99,1986
Dark Blu,US,6.99,2000
Mary Jane Girls,US,6.99,1985
Style (2),US,9.99,1990
Prime (3),US,7.99,2002
Kurupt,US,9.99,2000
The Vapids,Canada,8.99,1996
Breez Evahflowin',US,7.99,2003
Lil Bow Wow,US,6.99,2000
Ashanti,US,6.99,2002
SunN.Y.,US,6.99,2005
Christina Milian,US,6.99,2002
Antonio Carlos Jobim,US,13.99,1975
Keith Jarrett,US,10.99,1975
Kool & The Gang,US,41.99,1975
Rhyze,US,15.99,1980
The Supremes,US,6.99,1975
Slick (2),US,29.99,1979
Scarface (3),US,6.99,1994
Love Unlimited,US,16.990000000000002,1972
The Chi-Lites,US,9.99,1972
The Crown Heights Affair,US,6.99,1975
Eddie Kendricks,US,6.99,1974
Judy Roberts,US,13.99,1980
Spanky (23),US,5.99,1995
Various,US,7.99,
The Fatal Flyin' Guilloteens,US,8.99,1998
Cock E.S.P.,US,7.99,1996
Billy Eckstine,US,6.99,1974
Nancy Wilson,US,6.99,1975
The Miracles,US,6.99,21 Aug 1974
Coke Escovedo,US,8.99,1975
Finished Touch,US,8.99,1978
Electric Frankenstein,US,6.99,1998
YoungBloodZ,US,6.99,2002
Ruff Endz,US,6.99,2001
Journalist,US,6.99,2002
The Family Stand,US,6.99,1997
Monica,US,7.99,1996
